first_name,last_name,variant,state,purchase_freq,is_in_another_exp,result
Hoa,Witten,B,WI,low,0,0
Abel,Campain,B,MA,low,0,0
Glenna,Worlds,B,MN,low,0,0
Cheryl,Klimek,A,NJ,low,0,0
Ashlyn,Korando,B,CA,low,0,0
Mitsue,Pinilla,B,NJ,low,0,0
Allene,Coody,B,NY,low,0,1
Brandon,Agramonte,B,CA,low,0,0
Katina,Dickerson,B,TX,low,0,0
Detra,Schieler,B,CO,low,0,0
Carmelina,Slayton,A,CA,low,0,0
Devora,Chesterfield,A,MD,low,1,0
Josphine,Bayless,B,NJ,low,0,0
Tiffiny,Boord,A,CA,low,0,0
Portia,Bitsuie,A,IL,low,0,0
Mariann,Arias,B,CA,low,1,0
Felicidad,Lawler,B,LA,low,1,0
Freeman,Zagen,B,NC,low,1,1
Judy,Gwalthney,A,ME,low,0,0
Lai,Royster,B,FL,low,0,0
Fausto,Batman,A,NY,low,0,0
Marge,Callaro,A,TN,low,0,0
Jeanice,Lungren,A,CA,low,0,0
Virgie,Steffensmeier,A,TN,low,1,0
Estrella,Weglarz,A,GA,low,0,1
Daren,Nabours,B,AZ,low,0,0
Arlette,Ennaco,A,NJ,low,1,0
Roosevelt,Knipp,A,WI,low,0,1
Vi,Tawil,B,TX,medium,0,0
Nelida,Birkner,B,MS,low,1,0
Abel,Bubash,B,CA,low,0,0
Adell,Angalich,A,CA,low,0,0
Kristeen,Ogg,A,NY,low,1,1
Ruthann,Munns,A,PA,medium,0,0
Colette,Candlish,B,FL,low,0,0
Aliza,Witten,A,TN,low,0,0
Portia,Mulqueen,A,OH,high,0,0
Beckie,Villanueva,B,CA,low,1,0
Edna,Bubash,B,IN,medium,1,1
Junita,Degonia,B,CA,low,0,0
Raul,Denooyer,A,CO,medium,0,1
Willodean,Agramonte,A,CT,low,1,0
Dorothy,Rodefer,B,LA,low,0,1
Alline,Ogg,B,OH,low,0,0
Merissa,Nayar,A,CA,low,1,0
Virgie,Perez,B,CA,low,0,0
Portia,Kaniecki,A,WI,low,0,1
Novella,Suffield,B,ID,low,0,0
Kimbery,Wildfong,A,FL,low,0,0
Lauran,Ferencz,B,FL,low,0,0
Arlene,Fishburne,B,NM,low,0,0
Dottie,Bilden,A,CA,low,0,0
Stephen,Neither,B,NJ,low,0,1
Vincent,Stenseth,A,NY,low,0,0
Mitsue,Upthegrove,A,MA,low,0,0
Alishia,Rowling,B,NJ,low,0,0
Jerry,Shire,B,WA,medium,0,0
Melodie,Tegarden,A,CA,low,0,0
Mari,Wardrip,A,FL,low,0,0
Vincent,Staback,A,WA,low,0,1
Haydee,Maile,A,NY,high,0,0
Kallie,Dorshorst,A,NY,low,0,0
Paris,Berlanga,B,NC,low,0,0
Dean,Ennaco,A,IN,low,0,0
Raina,Gesick,A,MA,low,0,0
Annabelle,Schmierer,A,GA,low,0,0
Gearldine,Dubaldi,A,MD,low,1,1
Stephen,Chickering,B,MO,low,1,0
Josphine,Scipione,B,FL,medium,0,0
Virgina,Jayson,B,MA,low,1,1
Cherry,Batman,B,OH,low,0,0
Margart,Birkner,B,OH,low,0,1
Justine,Monterrubio,A,WI,low,0,0
Marjory,Buemi,A,TX,low,0,0
Becky,Gudroe,A,MI,low,1,0
Maile,Boulter,A,NY,low,0,0
France,Comnick,B,PA,high,0,0
Alisha,Butt,B,CO,low,1,0
Janey,Chaffins,A,NY,low,0,0
James,Reitler,A,TX,low,0,0
France,Skursky,A,NY,medium,0,0
Wilda,Waycott,A,IN,low,0,0
Kanisha,Vanheusen,A,FL,low,0,0
Audra,Witten,A,MA,low,1,0
Bobbye,Stem,A,FL,low,0,0
Ilene,Cetta,B,ME,high,0,0
Josphine,Perruzza,B,GA,low,0,0
Roslyn,Rentfro,B,OH,low,0,0
Ruthann,Ferrario,B,NJ,low,0,0
Chauncey,Discipio,B,CA,low,0,0
Rolland,Saylors,A,MA,low,0,0
Willodean,Bookamer,A,NJ,low,0,0
Abel,Slusarski,A,MA,low,1,0
Erick,Gobern,A,GA,low,0,0
Glenn,Gabisi,B,CA,low,0,0
Delmy,Fallick,A,CA,low,0,0
Goldie,Reitler,A,NJ,low,0,0
Merissa,Maisto,A,CT,low,0,1
Judy,Onofrio,B,FL,low,0,0
Johnetta,Ferrario,A,GA,low,0,0
Dottie,Strassner,B,GA,low,0,0
Mitzie,Monterrubio,B,NY,low,1,0
Roselle,Yglesias,A,TN,low,0,0
Ciara,Dallen,A,CA,low,0,0
Teri,Corrington,B,NY,low,0,0
Gary,Centini,B,MA,low,0,0
James,Dinos,A,HI,low,1,0
Nobuko,Varriano,A,CA,low,1,0
Cyndy,Mai,B,WA,high,0,0
Haydee,Tomasulo,A,WA,low,0,0
Roselle,Bubash,B,PA,low,0,0
Kanisha,Stoltzman,A,NJ,low,0,0
Aja,Farrar,A,TX,low,0,0
Talia,Zane,A,TX,low,0,0
Garry,Sweely,B,GA,low,0,0
Jennifer,Halter,A,TX,medium,1,0
Joesph,Maclead,B,NY,medium,0,0
Chanel,Keneipp,A,WI,low,0,0
Jade,Tromblay,A,AR,low,1,0
Heike,Sayaphon,A,IL,low,0,0
Lorean,Chickering,A,IN,medium,0,0
Irma,Padilla,B,WA,low,0,1
Shawna,Klusman,B,CA,low,1,0
Lettie,Hamilton,A,IN,medium,1,0
Twana,Fillingim,B,NJ,low,0,0
Ty,Upthegrove,A,MI,low,0,0
Gregoria,Cork,B,AK,low,0,0
Elza,Poullion,B,GA,low,0,0
Harrison,Gwalthney,B,CA,low,1,0
Tarra,Heintzman,A,NJ,medium,0,0
Blair,Chickering,B,IL,low,0,0
Lavonda,Brachle,A,NC,low,1,0
Vincent,Butt,A,NC,low,0,0
Merissa,Duenas,B,CA,low,0,0
Margart,Yglesias,B,OH,low,1,0
Clay,Wenner,A,OR,high,0,0
Terrilyn,Skulski,A,IA,low,0,0
Stephen,Suffield,B,TX,low,0,0
Marvel,Sengbusch,B,NJ,medium,0,0
Dorothy,Brideau,A,NJ,low,1,0
Art,Jurney,A,CA,low,0,0
Nobuko,Fallick,B,MN,low,0,0
Malcolm,Hixenbaugh,A,IL,low,0,0
Glenna,Meinerding,A,AR,medium,0,0
Rolande,Reitler,B,IN,low,0,0
Stephaine,Wolfgramm,A,NY,low,0,0
Annabelle,Heintzman,B,OH,low,1,0
Carmelina,Maclead,A,KS,low,1,1
Gail,Sawchuk,A,NJ,low,1,1
Tracey,Ventura,A,NY,high,0,0
Glory,Jacobos,B,AZ,low,0,0
Rory,Westerbeck,A,WI,low,1,0
Staci,Konopacki,B,NJ,low,0,0
Veronika,Meisel,A,FL,low,0,0
Cassi,Coody,B,OR,low,1,0
Ahmed,Frerking,B,ND,low,0,0
Audry,Corrio,A,CT,medium,1,0
Fabiola,Vanheusen,A,WA,low,0,0
Benton,Galam,A,OH,low,0,0
Simona,Melnyk,B,OH,low,1,0
Roxane,Colla,A,CA,low,1,0
Kaitlyn,Maillard,A,CA,low,0,0
Fausto,Kardas,A,NY,low,1,0
Salome,Stenseth,A,MD,low,0,1
Gwenn,Schieler,B,NJ,low,1,0
Alishia,Kannady,A,CA,low,0,0
Emerson,Gillian,B,FL,low,0,0
Brandon,Fishburne,A,CA,low,0,1
Merlyn,Kardas,A,VA,medium,0,1
Sharika,Mcrae,A,TX,low,0,0
Nieves,Plumer,A,AZ,low,0,0
Tracey,Gobern,B,NJ,low,0,1
Malinda,Kardas,A,KS,low,0,0
Nana,Leto,A,NY,low,1,0
Jeanice,Caudy,A,CA,low,0,0
Kasandra,Degonia,A,FL,medium,0,0
Nelida,Asar,A,CT,low,0,0
Layla,Fredicks,B,MI,low,1,0
Jade,Kohl,B,MI,low,0,0
Jeanice,Perez,A,NY,low,0,1
Jose,Dilliard,A,CA,medium,0,1
Wynell,Shealy,A,NJ,low,0,0
Merissa,Leinenbach,A,RI,low,0,0
Erick,Barfield,A,KS,medium,1,0
Rodolfo,Schmierer,A,TX,low,0,0
Maile,Auffrey,A,NJ,low,0,0
Lisha,Tollner,B,CO,low,0,0
Carlee,Amyot,A,PA,low,0,0
Zona,Stockham,A,TX,low,0,0
Kate,Pelkowski,A,IN,low,0,0
Marti,Dubaldi,B,RI,low,0,0
Kristel,Schnitzler,A,NY,low,0,0
Tracey,Cryer,B,LA,low,0,0
Merlyn,Royster,A,CA,low,0,0
Jina,Klonowski,A,WI,low,1,0
Chau,Schmaltz,A,NJ,low,0,0
Levi,Tromblay,B,WI,low,1,0
Golda,Wieser,A,CA,low,0,0
Bulah,Cronauer,A,NY,low,0,0
Jaclyn,Schmaltz,B,CT,low,1,0
Glenn,Abdallah,A,NY,low,0,0
Estrella,Rochin,A,NJ,low,0,0
Taryn,Meinerding,A,CA,low,0,0
Billye,Swayze,B,PA,low,0,0
Ettie,Perruzza,A,WI,low,0,1
Kris,Hamilton,B,IN,low,0,0
Carin,Maynerich,A,IN,low,0,0
Melissa,Raymo,B,VA,medium,0,0
Clorinda,Korando,A,IL,low,0,0
Jesusa,Acuff,B,MD,low,1,1
My,Loader,B,NJ,low,0,1
Moon,Giguere,B,OH,low,1,0
Theodora,Borgman,A,WI,low,0,0
Myra,Aredondo,B,CT,low,0,1
Jesusita,Lindall,B,TX,low,0,0
Cheryl,Butzen,B,CA,medium,0,0
Nan,Louissant,A,SD,low,0,0
Ilene,Abdallah,A,OH,medium,0,1
Scarlet,Zurcher,B,WA,low,0,0
Chau,Schmaltz,A,NC,low,0,1
Lonny,Dewar,A,AZ,low,0,0
Derick,Treston,B,CA,low,0,0
Helga,Darakjy,A,KY,low,0,0
Dick,Bourbon,B,IL,low,0,0
Bernardine,Inouye,A,ID,low,0,0
Golda,Saras,B,NY,low,0,0
Dierdre,Corrington,A,VA,low,0,0
Jennifer,Shin,B,IN,low,0,0
Herman,Thyberg,A,PA,low,0,0
Albina,Iturbide,B,FL,medium,1,0
Margart,Tagala,B,NJ,low,0,0
An,Turinetti,B,FL,low,0,0
Portia,Berganza,A,MD,low,0,0
Kati,Stoltzman,A,CA,low,0,0
Melodie,Merced,A,CA,low,0,0
Lawrence,Butzen,B,NY,low,0,0
Josephine,Corrio,B,PA,low,0,0
Pamella,Andreason,B,IL,low,0,0
Jennie,Kitty,B,NJ,low,0,1
Linn,Arias,B,CA,low,0,0
Delmy,Abdallah,B,CT,low,0,0
Mollie,Leto,B,CA,medium,0,0
Van,Nunlee,A,PA,low,0,0
Whitley,Ryser,A,NY,low,0,0
Alline,Candlish,A,PA,low,0,0
Thaddeus,Sweigard,B,CA,low,0,0
Bok,Coyier,B,CA,low,0,0
Vilma,Shields,B,VA,low,0,0
Catalina,Oles,A,TX,low,0,0
Brittni,Paulas,B,OR,low,0,0
Dulce,Honeywell,B,MS,low,1,0
Noah,Funnell,B,NJ,low,1,0
Virgie,Cronauer,A,NJ,low,0,0
Merissa,Kownacki,B,CA,low,1,1
Lenna,Gillaspie,B,NY,low,0,0
Winfred,Turinetti,A,IL,low,0,1
Bette,Parvis,B,MS,low,1,0
Lucina,Isenhower,B,NJ,low,0,0
Loren,Coyier,A,IL,low,0,0
Jettie,Yori,B,HI,low,0,0
Lizette,Ryser,A,MT,low,1,0
Olive,Hoopengardner,A,CO,low,1,0
Joesph,Raymo,A,PA,low,0,0
Mitsue,Halsey,B,CA,low,0,0
Lorrine,Halsey,B,PA,low,0,0
Gary,Tegarden,A,NJ,medium,0,0
Christiane,Ennaco,A,ND,medium,0,0
Raymon,Meteer,A,ME,low,0,0
Nobuko,Paa,A,NC,medium,0,0
Kanisha,Baltimore,A,NY,low,0,0
Estrella,Calvaresi,A,NY,low,0,0
Eladia,Maynerich,A,MI,low,0,0
Blair,Mugnolo,A,CA,low,0,0
Lemuel,Regusters,A,CA,low,0,1
Francine,Lietz,A,OR,low,0,1
Filiberto,Gesick,B,CA,low,1,0
Amber,Westerbeck,A,MN,low,0,0
Krissy,Saylors,B,PA,low,0,0
Willodean,Sayaphon,A,FL,low,0,0
Jolanda,Cetta,A,PA,low,1,0
Sharika,Maile,A,PA,medium,0,1
Valentin,Meisel,B,TX,low,0,0
Chanel,Rulapaugh,B,CA,low,1,0
Alease,Louissant,B,PA,low,1,0
Art,Hochard,B,MA,low,1,0
Meaghan,Vinning,B,MS,low,0,1
James,Villanueva,A,CA,low,1,0
Ahmed,Comnick,A,NJ,low,0,0
Marvel,Waymire,B,TN,high,1,0
Marti,Eschberger,B,FL,low,1,0
Tegan,Polidori,B,NJ,low,0,0
Bok,Engelberg,B,OR,low,0,0
Truman,Boulter,B,NJ,low,0,0
Jennifer,Palaspas,A,CT,low,0,0
Staci,Frerking,A,MI,low,1,0
Diane,Kohl,A,OR,low,1,0
Kasandra,Shire,A,PA,high,0,0
Filiberto,Craghead,A,CA,low,0,0
Edna,Schnitzler,B,NJ,low,1,0
Rebecka,Timenez,B,TX,medium,1,0
Garry,Cronauer,A,NJ,low,1,0
Adell,Lizama,B,WI,low,0,0
Tasia,Ostolaza,B,WI,low,0,0
Hubert,Theodorov,B,MI,low,0,0
Jesusa,Wardrip,A,CA,low,0,0
Tresa,Bennick,B,OH,medium,0,0
Virgie,Pagliuca,B,NY,low,0,0
Mariann,Jurney,B,MO,low,0,0
Peggie,Cartan,B,NY,low,0,0
Reena,Beech,B,NJ,low,0,0
Lonny,Motley,B,TX,low,0,0
Gail,Vinning,A,LA,low,0,0
Dottie,Chesterfield,A,NC,low,0,0
Xochitl,Breland,A,TX,medium,0,0
Gail,Heintzman,B,PA,low,0,0
Lucina,Drymon,B,TN,low,0,0
Tammara,Emard,B,TX,low,0,0
Tammara,Harabedian,A,OH,low,0,0
Cherry,Arceo,A,FL,low,0,1
Derick,Wenner,A,TX,low,0,0
Caprice,Weglarz,B,CA,low,0,0
Estrella,Emigh,A,PA,low,0,1
Valentine,Rauser,B,NC,low,0,1
Vincent,Rowling,A,MS,low,0,0
Ammie,Rauser,A,NJ,medium,0,0
Theola,Lary,B,NJ,low,0,1
Daron,Maclead,A,NJ,low,0,0
Detra,Heintzman,A,PA,low,0,0
Nana,Ragel,A,CT,low,0,0
Bette,Maisto,A,WI,low,1,0
Harrison,Steier,A,NE,low,0,0
Leota,Honeywell,B,CA,low,0,0
Karan,Wiklund,B,CA,low,1,0
Cyndy,Bruschke,A,CA,low,0,0
Jennie,Sayaphon,A,NY,low,0,0
Alease,Varriano,B,RI,high,0,0
Elouise,Storment,A,OH,low,1,0
Raymon,Knipp,A,NJ,low,1,0
Tawna,Mondella,A,CA,high,0,0
Belen,Corrington,A,NY,low,0,0
Lashandra,Berganza,A,OH,low,1,0
Selma,Berganza,B,PA,low,0,0
Alecia,Perez,B,NJ,medium,1,0
Helga,Ruta,B,NJ,high,1,0
Bernardo,Yaw,A,IL,low,0,0
Adelina,Hamilton,B,MS,low,0,1
Glendora,Duenas,A,AZ,low,0,1
Sabra,Labreche,B,MN,low,0,0
Leonida,Juvera,A,CA,low,0,0
Roslyn,Wolny,B,TX,low,0,0
Cherry,Smith,A,TX,low,0,0
Dick,Steffensmeier,B,PA,low,1,1
Blair,Frerking,B,NJ,medium,1,0
Jennifer,Dilello,B,VA,low,0,0
Haydee,Miro,B,MN,low,0,1
Veronika,Lizama,A,CA,low,0,0
Joseph,Chickering,A,CA,low,0,0
Albina,Vanausdal,A,TX,low,1,1
Teri,Dilliard,B,ND,low,1,0
Wynell,Ferencz,A,NJ,low,0,0
Gwenn,Maynerich,B,NY,low,1,0
Mireya,Malvin,B,FL,low,0,0
Ernie,Bennick,B,WI,low,1,0
Mariann,Walthall,B,FL,low,1,0
Joanna,Meisel,A,MO,medium,0,0
Lavonda,Demesa,B,TX,low,0,0
Jina,Wolfgramm,A,MN,low,0,0
Harrison,Villanueva,A,TX,low,0,0
Alaine,Miceli,B,IN,low,0,0
Ressie,Perin,B,NY,high,0,0
Johnetta,Bolognia,A,CA,low,0,0
Ruthann,Reiber,B,OR,low,0,0
Tyra,Palaspas,A,CA,low,0,0
Kaitlyn,Lizama,B,NY,low,0,0
Kate,Comnick,B,LA,low,0,0
Marti,Sturiale,A,NJ,medium,0,0
Catalina,Degonia,B,NJ,low,0,0
Leota,Amigon,A,NJ,low,1,0
Caprice,Yum,A,FL,low,1,0
Roosevelt,Stuer,A,NJ,low,1,0
Tyra,Jurney,A,MS,low,0,1
Carissa,Hudnall,B,AZ,low,1,0
Shawna,Setter,B,LA,low,0,0
Marvel,Farrow,A,NJ,low,0,0
Scarlet,Stoltzman,B,AZ,low,0,0
Ty,Pagliuca,A,MN,low,0,0
Freeman,Bruschke,A,NY,low,0,0
Brett,Kohnert,A,TX,low,1,0
Colette,Kusko,B,PA,medium,0,0
France,Sayaphon,B,IN,low,0,0
Beatriz,Wenner,B,LA,medium,0,0
Hillary,Liukko,B,MS,low,1,0
Jennie,Dorshorst,B,PA,high,0,0
Joni,Feichtner,A,CA,low,1,0
Maile,Rochin,A,MI,medium,0,0
Peggie,Menter,B,CA,low,1,0
Herman,Klimek,A,PA,low,0,0
Kristofer,Francescon,A,CA,low,0,0
Mariann,Frey,A,WY,low,0,0
Refugia,Waymire,B,NY,low,1,0
Leota,Berlanga,A,TN,low,1,0
Mozell,Melnyk,B,CA,low,0,0
Tonette,Dickerson,A,CA,low,0,0
Erinn,Mconnell,A,IL,low,0,0
Viva,Shields,A,MA,low,0,0
Lai,Tolfree,A,NM,low,1,0
Peggie,Poquette,A,NY,medium,0,1
Leonida,Padilla,A,AK,low,0,0
Ashlyn,Rochin,B,NJ,low,0,0
Gracia,Kippley,A,NM,low,0,0
Colette,Berray,B,CT,low,0,0
Vincent,Hamilton,B,MN,high,0,0
Norah,Hellickson,A,CO,low,1,0
Tawna,Gillian,B,CA,medium,0,0
Bulah,Scheyer,B,MI,low,1,0
Eladia,Meinerding,A,NJ,low,1,1
Chauncey,Amyot,B,NJ,medium,0,0
Catarina,Gellinger,A,FL,low,0,0
Meaghan,Raymo,B,NJ,low,0,0
Tiera,Bowley,A,NY,low,0,0
Renea,Sengbusch,A,IN,low,1,1
Rolande,Stimmel,A,FL,low,0,0
Mollie,Arceo,A,PA,low,0,0
Garry,Paskin,A,MA,high,1,0
Peggie,Dewar,B,LA,low,0,0
Golda,Herritt,A,CA,medium,0,0
Timothy,Parlato,B,WI,low,0,0
Glenna,Kusko,B,CA,low,0,0
Gearldine,Nicka,A,NJ,low,0,0
Vallie,Schemmer,B,NH,low,0,0
Hubert,Springe,B,CO,low,0,0
Carmen,Shealy,A,NY,low,1,0
Carmelina,Frankel,A,NY,low,0,1
Annmarie,Slayton,B,TX,low,0,0
Tasia,Kippley,A,NJ,medium,0,0
Nicolette,Hoa,B,MS,low,0,0
Shawna,Drymon,B,TN,low,0,0
Raina,Ferrario,B,OH,low,0,0
Lai,Bilden,B,TX,low,0,0
Lettie,Patak,B,NJ,high,0,0
Elly,Thyberg,B,OH,low,1,0
Kayleigh,Varriano,A,CA,low,0,0
Candida,Nicolozakes,B,ME,low,0,0
Carlee,Halsey,B,CA,low,0,0
Kati,Centini,A,NM,low,1,0
Corinne,Tolfree,B,NJ,low,0,0
Tonette,Boord,B,OH,low,0,0
Lynelle,Cookey,A,GA,low,0,0
Glenn,Maybury,A,MA,low,0,0
Kimbery,Blackwood,B,FL,low,1,0
Leatha,Rhoden,B,TX,low,0,0
Lashandra,Bourbon,B,CA,low,0,0
Youlanda,Goldammer,A,CA,low,0,0
Carmen,Brucato,A,TX,low,0,0
Geoffrey,Kohnert,B,MN,high,0,1
Edna,Kiel,B,NC,low,1,0
Tiffiny,Schnitzler,A,PA,low,0,0
Alyce,Keener,B,NY,low,0,0
Freeman,Kusko,A,OH,low,0,0
Marge,Konopacki,A,TN,low,0,0
Sharee,Vanheusen,B,MS,medium,1,0
Xuan,Hoogland,B,MN,low,0,0
Gilma,Neither,A,PA,low,0,1
Aliza,Ruta,A,CA,medium,0,0
Lonna,Gotter,A,IN,low,1,1
Franklyn,Bartolet,A,FL,low,0,0
Merissa,Vinning,A,CA,low,1,0
Chantell,Shire,B,MD,low,1,0
Veronika,Sayaphon,A,GA,low,0,0
Timothy,Tawil,B,NY,low,0,0
Krissy,Westerbeck,A,CA,low,1,0
Sharee,Wrinkles,B,MI,low,0,1
Lai,Leto,A,CA,low,1,0
Joanna,Devreese,A,TX,low,0,0
Ashlyn,Rentfro,B,PA,low,0,0
Maryann,Rhoden,A,TN,low,0,0
Sabra,Gillaspie,A,CA,low,0,0
Lemuel,Zurcher,A,NJ,low,0,0
Jennifer,Emigh,A,OH,low,1,0
Jaclyn,Pagliuca,B,NY,medium,0,0
Tresa,Gesick,A,NY,low,0,0
Stevie,Brossart,A,NY,low,0,0
Sabra,Rantanen,B,NJ,low,1,0
Fletcher,Barfield,A,FL,low,0,0
Laurel,Kohnert,A,NC,low,0,0
Rolande,Briddick,B,MI,low,0,0
Nana,Halter,A,MD,low,1,0
Jovita,Menter,A,MN,low,1,0
Meaghan,Threets,B,WY,low,1,0
Linn,Wide,A,NJ,low,0,0
Lynelle,Tjepkema,B,TX,low,0,0
Fabiola,Degonia,B,MI,low,0,0
Virgina,Kownacki,A,CA,low,0,0
Reena,Weight,B,SD,low,0,0
Arthur,Witten,B,NY,medium,0,0
Clay,Kolmetz,B,PA,low,0,0
Rolande,Auber,B,GA,low,0,0
Elza,Hiatt,A,NY,low,0,0
Vi,Vanausdal,B,CO,low,0,0
Nicolette,Emard,A,WI,low,1,0
Willow,Modzelewski,A,AZ,low,0,1
Katina,Gabisi,B,OH,low,0,0
Vincent,Shinko,A,NY,low,0,0
Sue,Degroot,B,NJ,low,0,0
Lucina,Dorshorst,A,OH,low,0,0
Lorrie,Calvaresi,B,NJ,low,0,0
Lettie,Biddy,B,TX,low,0,0
Catalina,Berlanga,B,FL,low,0,0
Devora,Fortino,A,NJ,medium,0,0
Nichelle,Vinning,A,NJ,low,0,0
Nobuko,Cookey,B,WY,low,0,0
Nichelle,Zagen,B,MD,low,0,0
Ahmed,Chavous,B,TN,low,0,0
Cecil,Klusman,B,NJ,low,0,0
Elvera,Zagen,B,TX,low,0,0
Hubert,Dilliard,B,NY,low,0,0
Brittni,Farrar,B,CA,low,1,0
Jesusa,Eanes,B,WI,low,0,0
Josphine,Bruschke,A,CA,low,0,0
Glendora,Eanes,B,NY,low,0,0
Elke,Fillingim,A,TX,medium,1,0
Josephine,Kownacki,A,CA,low,1,0
Larae,Neither,A,IL,low,0,0
Iluminada,Angalich,B,FL,low,0,0
Helga,Miceli,A,TX,low,1,0
Celeste,Tomblin,A,IN,low,1,0
Gregoria,Syrop,B,OR,low,0,0
Tresa,Hauenstein,B,NY,low,0,0
Janey,Ketelsen,A,TX,low,0,0
Clay,Poquette,A,NY,low,0,0
Gearldine,Tollner,A,OR,low,0,0
Rodolfo,Estell,B,CA,low,0,0
Cristal,Buemi,A,NJ,low,0,0
Kimberlie,Fallick,B,TX,low,0,0
Novella,Knipp,A,NC,low,0,0
Delmy,Rhym,B,NJ,low,0,0
Helga,Hagele,A,IL,low,0,1
Aliza,Hirpara,B,MD,low,1,0
Regenia,Rauser,B,OH,medium,0,0
Fletcher,Wolfgramm,A,CA,low,0,0
Quentin,Waymire,A,TN,low,1,0
Vilma,Similton,A,NM,low,0,0
Lonna,Rantanen,B,CA,high,1,0
Erick,Gibes,A,WI,medium,0,0
Kiley,Estell,B,NJ,low,0,0
Renea,Wenner,A,AZ,low,0,0
Roselle,Ruta,A,IL,low,0,0
Tiera,Juhas,A,CA,medium,0,0
Norah,Schmierer,B,FL,low,0,0
Mitsue,Nunlee,B,CA,low,0,0
Fabiola,Rim,A,WA,low,0,0
Nana,Cloney,A,CA,high,0,0
Cecily,Weglarz,A,IL,low,0,0
Nan,Caudy,A,MD,low,0,0
Geoffrey,Ahle,B,NJ,low,0,0
Dorothy,Lacovara,B,WA,low,1,0
Dominque,Pedrozo,B,PA,low,0,0
Twana,Upthegrove,A,TX,low,0,0
Ciara,Riden,B,NM,medium,0,0
Lettie,Asar,A,PA,low,0,0
Viva,Sayaphon,A,PA,low,1,0
Ernest,Garufi,A,CA,low,0,1
Tyra,Theodorov,B,NY,medium,0,0
Nobuko,Sturiale,B,PA,low,0,0
Lindsey,Nayar,A,CA,low,0,0
Alisha,Merced,B,RI,low,1,0
Delmy,Konopacki,B,MI,low,0,0
Raina,Hamilton,B,CO,low,0,0
Vilma,Hoa,B,CA,high,0,0
Heike,Timenez,B,MO,low,0,0
Vi,Limmel,A,CA,low,0,0
Alesia,Maisto,B,WI,low,0,0
Alex,Galam,A,NE,low,0,0
Nu,Malvin,A,FL,low,0,1
Daren,Rodefer,A,AZ,low,0,0
Jennie,Greenbush,B,CA,low,0,0
Maile,Westerbeck,B,NJ,low,0,0
Rolande,Padilla,B,TX,low,0,0
Maryann,Hixenbaugh,B,OH,low,0,0
Adell,Honeywell,A,WA,low,0,1
Adelina,Bennick,A,VA,low,1,0
Theodora,Gesick,A,CA,medium,0,0
Raymon,Reiber,B,NY,medium,0,0
Mariann,Gellinger,B,PA,low,0,0
Staci,Foller,A,MI,low,0,0
Truman,Mugnolo,A,IN,low,1,0
Blair,Gudroe,A,NY,low,0,1
Jovita,Amyot,A,HI,low,1,0
Regenia,Sweely,A,NJ,low,0,0
Tyra,Juvera,A,AZ,low,0,0
Matthew,Miro,A,SC,medium,0,0
Benedict,Blunk,B,AK,low,1,0
Jeanice,Gleich,A,FL,low,1,1
Virgie,Newville,B,IL,low,0,0
Tresa,Agramonte,B,CA,low,0,0
Johnetta,Walthall,A,NY,low,0,0
Youlanda,Pawlowicz,A,NY,high,1,1
Jovita,Hoa,B,FL,low,0,0
Flo,Eanes,A,LA,low,1,0
Mollie,Sahagun,B,MI,low,0,0
Sylvia,Tromblay,A,PA,low,0,0
Blair,Emard,B,TX,low,1,0
Cyndy,Wenzinger,A,OR,low,1,0
Eun,Flister,B,CA,low,0,0
Elke,Riopelle,B,CA,low,0,0
Deandrea,Samara,B,RI,low,0,0
Donte,Klimek,B,CA,low,0,0
Jacqueline,Korando,B,FL,high,0,1
Jovita,Flister,A,NC,medium,0,0
Portia,Padilla,A,MI,low,0,0
Thaddeus,Rantanen,A,OH,low,1,0
Amie,Acey,A,AZ,low,0,1
Quentin,Tomblin,A,PA,high,0,0
Lindsey,Aquas,A,MN,medium,0,0
Nu,Pelkowski,A,PA,low,0,0
Christiane,Klang,A,NJ,low,0,1
Lashawnda,Hidvegi,A,NJ,low,0,0
Chaya,Ragel,A,PA,low,0,0
Janey,Timenez,B,TX,low,1,0
Helaine,Paprocki,A,CA,high,0,0
Alline,Bilden,B,PA,low,0,0
Carin,Hollack,A,NY,low,0,0
Elke,Staback,B,CA,low,0,0
Wilda,Castros,A,WI,low,0,0
Lavonna,Dewar,A,CA,low,0,0
Quentin,Fortino,B,NJ,low,0,0
Brett,Craghead,B,OH,low,1,0
Cammy,Montezuma,B,CA,low,0,0
Glenn,Malvin,A,NC,low,0,0
Stevie,Reiber,B,NY,low,0,0
Franklyn,Hagele,B,OR,low,0,0
Dalene,Varriano,B,MN,low,0,1
Emerson,Vonasek,A,NJ,low,0,0
Roxane,Nabours,A,NJ,low,0,0
Truman,Swayze,A,MO,low,0,0
Britt,Hidvegi,A,NY,low,0,1
Nicolette,Hagele,A,IL,low,0,0
Nicolette,Stem,A,MI,low,0,0
Sylvia,Stockham,B,MN,low,0,0
Blair,Rentfro,B,AZ,low,1,0
Rikki,Radde,A,TN,low,0,0
Ammie,Schieler,B,PA,low,0,0
Howard,Dopico,A,TX,low,1,0
Raymon,Klimek,A,PA,low,1,0
Pamella,Shields,A,CT,low,0,0
Xuan,Stockham,B,CA,low,0,0
Margart,Rauser,B,FL,low,1,1
Dean,Gillian,A,WI,low,0,0
Latrice,Gochal,B,TN,low,0,0
Rosio,Radde,A,CA,low,0,1
